,Cause,Effect,EffectSize,CauseDirection
0,BCL11A,PAM50Call_RNAseq,6.8390475117458545,Positive
1,CAPN6,PAM50Call_RNAseq,6.828210644906961,Positive
2,ALB,PAM50Call_RNAseq,7.0995829170534,Negative
3,TBC1D3G,PAM50Call_RNAseq,6.525180147969554,Negative
4,SLC6A11,PAM50Call_RNAseq,6.515090670388588,Positive
5,TNNT1,PAM50Call_RNAseq,6.65704853515404,Negative
6,MS4A1,PAM50Call_RNAseq,7.008799773932142,Positive
7,FLT3,PAM50Call_RNAseq,6.91853177903339,Negative
8,ESR1,PAM50Call_RNAseq,6.694830745907199,Negative
9,CST9,PAM50Call_RNAseq,6.561795803237177,Negative
10,NBPF6,PAM50Call_RNAseq,6.042726653623437,Negative
11,GLYATL2,PAM50Call_RNAseq,6.918192316275115,Positive
12,LRG1,PAM50Call_RNAseq,6.828240689054791,Negative
13,AKR1C2,PAM50Call_RNAseq,7.0241763078981165,Positive
14,KLK5,PAM50Call_RNAseq,6.7189299287852515,Positive
15,VTCN1,PAM50Call_RNAseq,7.1937431064447965,Negative
16,GP2,PAM50Call_RNAseq,6.553233888049434,Negative
17,FLJ45983,PAM50Call_RNAseq,6.764106840523223,Negative
18,ASCL1,PAM50Call_RNAseq,6.627898017034465,Negative
19,C7,PAM50Call_RNAseq,6.635919022701232,Negative
20,DCD,PAM50Call_RNAseq,7.117393087504751,Positive
21,ALOX15B,PAM50Call_RNAseq,7.096875076214054,Negative
22,TNFSF12-TNFSF13,PAM50Call_RNAseq,6.733159273301654,Positive
23,LTF,PAM50Call_RNAseq,6.913825393061456,Negative
24,KRT16,PAM50Call_RNAseq,6.91575574840771,Positive
25,APOD,PAM50Call_RNAseq,7.1701776333089695,Negative
26,CALML3,PAM50Call_RNAseq,6.828412795233936,Negative
27,CRABP1,PAM50Call_RNAseq,6.706589426063794,Positive
28,PSCA,PAM50Call_RNAseq,7.006103468926635,Positive
29,UGT2B28,PAM50Call_RNAseq,6.998184027975434,Positive
30,SLC1A1,PAM50Call_RNAseq,6.915164682859479,Negative
31,GLRA3,PAM50Call_RNAseq,6.610903863379592,Negative
32,DLK1,PAM50Call_RNAseq,7.101255915320836,Positive
33,SYT9,PAM50Call_RNAseq,6.353555339443485,Negative
34,CD79A,PAM50Call_RNAseq,7.047927822398982,Positive
35,SHC4,PAM50Call_RNAseq,6.939547600757914,Positive
36,PPP2R2C,PAM50Call_RNAseq,6.498747393114587,Negative
37,AGTR1,PAM50Call_RNAseq,6.917188161174767,Negative
38,MKX,PAM50Call_RNAseq,6.9655328651192745,Negative
39,FAM5C,PAM50Call_RNAseq,6.60298985738295,Positive
40,PLA2G2D,PAM50Call_RNAseq,6.915603149936495,Positive
41,CHIT1,PAM50Call_RNAseq,7.156660186688368,Negative
42,GLDC,PAM50Call_RNAseq,6.785549629082198,Positive
43,FGG,PAM50Call_RNAseq,7.084943875835487,Positive
44,ONECUT2,PAM50Call_RNAseq,6.746212515863797,Positive
45,MSLN,PAM50Call_RNAseq,6.708203774971712,Positive
46,ABCC12,PAM50Call_RNAseq,6.712762628641342,Positive
47,CXCL13,PAM50Call_RNAseq,7.108578862666594,Positive
48,KRT13,PAM50Call_RNAseq,6.94460019288905,Negative
49,MAPK4,PAM50Call_RNAseq,6.885918606614216,Positive
50,COL9A3,PAM50Call_RNAseq,7.123642343951313,Positive
51,HORMAD1,PAM50Call_RNAseq,6.610645219261683,Positive
52,S100A7A,PAM50Call_RNAseq,6.943399309426908,Positive
53,HPX,PAM50Call_RNAseq,6.978691644482622,Negative
54,KLK7,PAM50Call_RNAseq,6.670249827437513,Positive
55,CPB1,PAM50Call_RNAseq,6.58608223275419,Negative
56,C10orf82,PAM50Call_RNAseq,6.156616382943798,Negative
57,CLSTN2,PAM50Call_RNAseq,7.015560115812366,Negative
58,IRX4,PAM50Call_RNAseq,6.766311425781961,Negative
59,HP,PAM50Call_RNAseq,6.6963205442237825,Negative
60,PKP1,PAM50Call_RNAseq,7.025791526867645,Positive
61,PCDHA12,PAM50Call_RNAseq,6.610829335414011,Negative
62,MARCO,PAM50Call_RNAseq,6.669901247094297,Positive
63,C1orf64,PAM50Call_RNAseq,6.241652327901209,Negative
64,TFPI2,PAM50Call_RNAseq,7.009043109572678,Negative
65,CCL18,PAM50Call_RNAseq,6.9252904687067325,Positive
66,C2orf40,PAM50Call_RNAseq,6.989498248184537,Negative
67,TMEM132C,PAM50Call_RNAseq,6.615791584138694,Negative
68,LOC728606,PAM50Call_RNAseq,6.335970982828208,Negative
69,CECR2,PAM50Call_RNAseq,6.542550582138227,Positive
70,TMPRSS3,PAM50Call_RNAseq,6.8416292791015,Negative
71,UGT8,PAM50Call_RNAseq,6.843170585962511,Positive
72,PCDHA11,PAM50Call_RNAseq,6.538126200803692,Negative
73,CYP4Z2P,PAM50Call_RNAseq,6.578502318161671,Negative
74,CHI3L2,PAM50Call_RNAseq,7.118531886391733,Positive
75,RASAL1,PAM50Call_RNAseq,6.723793214190377,Positive
76,ELF5,PAM50Call_RNAseq,6.722272424869295,Positive
77,ABCA12,PAM50Call_RNAseq,6.779932458051899,Negative
78,KIF1A,PAM50Call_RNAseq,6.526492466120233,Positive
79,CHST8,PAM50Call_RNAseq,6.720230065140547,Negative
80,NEK10,PAM50Call_RNAseq,6.546631170232391,Negative
81,KLK10,PAM50Call_RNAseq,6.818289768791855,Positive
82,LY6D,PAM50Call_RNAseq,6.903384533301924,Positive
83,CYP2A7,PAM50Call_RNAseq,7.129856692627556,Negative
84,SYT13,PAM50Call_RNAseq,6.687696605246967,Negative
85,MUC6,PAM50Call_RNAseq,6.616232506213509,Negative
86,STAC2,PAM50Call_RNAseq,6.832297231612504,Positive
87,C1orf106,PAM50Call_RNAseq,6.880255141867507,Positive
88,FGF10,PAM50Call_RNAseq,6.8910478093911705,Negative
89,COL17A1,PAM50Call_RNAseq,6.991263038743323,Negative
90,TRPV6,PAM50Call_RNAseq,6.875732571643186,Positive
91,TRH,PAM50Call_RNAseq,7.018660994798014,Negative
92,KNDC1,PAM50Call_RNAseq,6.516669949861267,Negative
93,VIPR2,PAM50Call_RNAseq,6.684874338758686,Negative
94,S100A8,PAM50Call_RNAseq,7.0434323889084665,Positive
95,TRIM29,PAM50Call_RNAseq,6.94247446539067,Positive
96,KLK8,PAM50Call_RNAseq,6.683302332939908,Positive
97,PLIN4,PAM50Call_RNAseq,7.079542976335716,Negative
98,SLC15A1,PAM50Call_RNAseq,6.935832425417813,Positive
99,KRT6A,PAM50Call_RNAseq,6.875485031049041,Positive
100,PPP1R14C,PAM50Call_RNAseq,6.854149985719856,Positive
101,S100A1,PAM50Call_RNAseq,6.938368867497465,Positive
102,TFAP2B,PAM50Call_RNAseq,6.43180234037289,Negative
103,HOXC11,PAM50Call_RNAseq,6.403603736850804,Positive
104,KRT23,PAM50Call_RNAseq,6.989107467084579,Positive
105,MMP1,PAM50Call_RNAseq,6.888439380348308,Positive
106,MUC2,PAM50Call_RNAseq,6.991816408544112,Negative
107,S100A2,PAM50Call_RNAseq,7.175731143722435,Positive
108,SERPINA6,PAM50Call_RNAseq,6.599330529575796,Negative
109,RHCG,PAM50Call_RNAseq,7.08077665174148,Positive
110,?|652919,PAM50Call_RNAseq,6.295895002405107,Negative
111,MMP13,PAM50Call_RNAseq,7.013359213578819,Negative
112,MAGEA6,PAM50Call_RNAseq,6.5906263263512495,Positive
113,SCGB2A2,PAM50Call_RNAseq,6.520329891156268,Negative
114,S100A9,PAM50Call_RNAseq,6.974648737085274,Positive
115,GLYATL1,PAM50Call_RNAseq,6.76049150638122,Negative
116,SCRG1,PAM50Call_RNAseq,6.956969941277317,Positive
117,CRISP3,PAM50Call_RNAseq,6.892028567162979,Positive
118,HOXC10,PAM50Call_RNAseq,6.896540510056721,Positive
119,FOXA1,PAM50Call_RNAseq,6.891232043468382,Negative
120,C16orf89,PAM50Call_RNAseq,6.752639030748067,Negative
121,CA9,PAM50Call_RNAseq,6.514291416718544,Positive
122,BBOX1,PAM50Call_RNAseq,6.730937517165365,Positive
123,FOLR1,PAM50Call_RNAseq,6.767309016628392,Positive
124,DSG1,PAM50Call_RNAseq,6.92547802989866,Positive
125,CNTNAP2,PAM50Call_RNAseq,6.868352165710603,Negative
126,LCN2,PAM50Call_RNAseq,7.037738127136219,Positive
127,SCGB1D2,PAM50Call_RNAseq,6.597145883094047,Negative
128,CALML5,PAM50Call_RNAseq,6.668997228798523,Positive
129,LEP,PAM50Call_RNAseq,6.633217574846452,Negative
130,AFP,PAM50Call_RNAseq,6.908161443832072,Negative
131,PRAME,PAM50Call_RNAseq,6.3000566694150715,Positive
132,COL2A1,PAM50Call_RNAseq,6.675382749109487,Negative
133,MIA,PAM50Call_RNAseq,6.788581350116959,Positive
134,TAT,PAM50Call_RNAseq,6.789527783732837,Negative
135,SPDYC,PAM50Call_RNAseq,6.891979026083094,Positive
136,PRODH,PAM50Call_RNAseq,6.810899620728351,Positive
137,PP14571,PAM50Call_RNAseq,6.710450354404901,Negative
138,MMP7,PAM50Call_RNAseq,7.1789917525711715,Positive
139,SLC44A4,PAM50Call_RNAseq,6.803824103658164,Negative
140,FCRL5,PAM50Call_RNAseq,6.7913480173753324,Positive
141,CXADRP3,PAM50Call_RNAseq,6.808560745368767,Negative
142,ART3,PAM50Call_RNAseq,6.743841229615118,Positive
143,COL11A1,PAM50Call_RNAseq,7.104718483191907,Positive
144,PCOLCE2,PAM50Call_RNAseq,6.765883399707771,Positive
145,GPD1,PAM50Call_RNAseq,6.821658348049246,Negative
146,DLGAP1,PAM50Call_RNAseq,6.613283821704701,Negative
147,C2orf54,PAM50Call_RNAseq,6.841426613626098,Positive
148,C1orf173,PAM50Call_RNAseq,6.702647997872602,Negative
149,NPY1R,PAM50Call_RNAseq,6.931827721040324,Negative
150,MYT1,PAM50Call_RNAseq,6.705994137878121,Negative
151,MS4A8B,PAM50Call_RNAseq,6.8243441985346,Negative
152,HSD17B2,PAM50Call_RNAseq,6.757645817334853,Positive
153,ZFP57,PAM50Call_RNAseq,6.588653983554767,Positive
154,LRP1B,PAM50Call_RNAseq,6.8250588964620595,Negative
155,PSAT1,PAM50Call_RNAseq,6.893433307871164,Positive
156,ORM1,PAM50Call_RNAseq,6.7688765941229025,Positive
157,POF1B,PAM50Call_RNAseq,6.7405459980234195,Positive
158,ADAM6,PAM50Call_RNAseq,7.08095905867805,Positive
159,CNTFR,PAM50Call_RNAseq,6.802651068348561,Negative
160,CLIC6,PAM50Call_RNAseq,6.8116314046722755,Negative
161,ANKRD30B,PAM50Call_RNAseq,6.665314760371929,Negative
162,FUT3,PAM50Call_RNAseq,6.699030311720729,Positive
163,IGJ,PAM50Call_RNAseq,7.074506223384359,Positive
164,ERBB2,PAM50Call_RNAseq,7.216872289353739,Positive
165,CBLN2,PAM50Call_RNAseq,6.6723751849737996,Negative
166,SOSTDC1,PAM50Call_RNAseq,6.9022477086291,Positive
167,FAT2,PAM50Call_RNAseq,6.954991485986441,Negative
168,GABBR2,PAM50Call_RNAseq,6.863301852641744,Positive
169,CIDEC,PAM50Call_RNAseq,6.57450902068807,Negative
170,PIGR,PAM50Call_RNAseq,6.961639077710779,Negative
171,TMEM40,PAM50Call_RNAseq,6.667210009547006,Positive
172,SHISA9,PAM50Call_RNAseq,6.725504792104789,Negative
173,LOC84740,PAM50Call_RNAseq,6.849369674410708,Positive
174,VGLL1,PAM50Call_RNAseq,6.692770482182555,Positive
175,KRT4,PAM50Call_RNAseq,7.087194092683724,Positive
176,THRSP,PAM50Call_RNAseq,7.003420081729459,Negative
177,LBP,PAM50Call_RNAseq,6.877256603799216,Positive
178,SAA1,PAM50Call_RNAseq,7.1352007740358365,Negative
179,ACTL8,PAM50Call_RNAseq,6.810181144717599,Positive
180,CR2,PAM50Call_RNAseq,6.8808558431343405,Positive
181,KCNC2,PAM50Call_RNAseq,6.463407278508044,Negative
182,ADH1B,PAM50Call_RNAseq,6.567521525054706,Negative
183,MUC15,PAM50Call_RNAseq,6.727958749780493,Positive
184,CHGA,PAM50Call_RNAseq,7.195874854448954,Negative
185,FAM83E,PAM50Call_RNAseq,6.6220295480899365,Negative
186,GSTA1,PAM50Call_RNAseq,6.832459722987302,Positive
187,RBP4,PAM50Call_RNAseq,6.981815782758597,Negative
188,SERPINA11,PAM50Call_RNAseq,6.42991520135015,Negative
189,TUSC5,PAM50Call_RNAseq,6.668165853591511,Negative
190,PROL1,PAM50Call_RNAseq,7.007452540841646,Negative
191,PLA2G2A,PAM50Call_RNAseq,7.004855603172819,Positive
192,KCNG1,PAM50Call_RNAseq,6.953540782845477,Positive
193,CCL21,PAM50Call_RNAseq,6.907281154864268,Negative
194,SLC26A3,PAM50Call_RNAseq,6.963915770064121,Negative
195,TUBA3D,PAM50Call_RNAseq,6.8709656346564385,Negative
196,MYBPC1,PAM50Call_RNAseq,6.748799378769672,Negative
197,DCDC2,PAM50Call_RNAseq,6.916895505317689,Negative
198,GJB1,PAM50Call_RNAseq,6.707791428230213,Negative
199,PDZK1IP1,PAM50Call_RNAseq,7.024130265783262,Positive
200,LRP2,PAM50Call_RNAseq,6.860057656942536,Negative
201,HMGCS2,PAM50Call_RNAseq,6.5697413647497305,Negative
202,CST4,PAM50Call_RNAseq,6.909893362375593,Negative
203,TTC36,PAM50Call_RNAseq,6.5473173258751105,Negative
204,S100P,PAM50Call_RNAseq,6.8538697993561275,Positive
205,ABCC11,PAM50Call_RNAseq,6.6688424481593165,Negative
206,MKRN3,PAM50Call_RNAseq,6.3869529142380665,Positive
207,FOXI1,PAM50Call_RNAseq,6.685826550884483,Negative
208,PHGR1,PAM50Call_RNAseq,6.688169925865833,Negative
209,SLC5A1,PAM50Call_RNAseq,6.745366340706437,Positive
210,AREG,PAM50Call_RNAseq,7.04153273880941,Negative
211,DSG3,PAM50Call_RNAseq,6.739322913555262,Negative
212,SAA2,PAM50Call_RNAseq,7.137299200049266,Negative
213,RGS22,PAM50Call_RNAseq,6.691917211533996,Negative
214,SLC6A15,PAM50Call_RNAseq,6.824440667718255,Positive
215,ZIC1,PAM50Call_RNAseq,6.459881375299142,Positive
216,GJB3,PAM50Call_RNAseq,6.867241973567155,Positive
217,AGR3,PAM50Call_RNAseq,6.349028255857976,Negative
218,TSPAN8,PAM50Call_RNAseq,6.775594139164853,Positive
219,TLX1,PAM50Call_RNAseq,6.538375988901845,Positive
220,FUT6,PAM50Call_RNAseq,6.766271409018169,Positive
221,C4orf7,PAM50Call_RNAseq,6.967222489575367,Positive
222,CEACAM6,PAM50Call_RNAseq,6.954810646112725,Negative
223,CYP4X1,PAM50Call_RNAseq,6.83553903417659,Negative
224,FAM196A,PAM50Call_RNAseq,6.7782782089570395,Negative
225,LOC389033,PAM50Call_RNAseq,6.55160643693764,Negative
226,NLRP2,PAM50Call_RNAseq,6.743715795101079,Negative
227,WT1,PAM50Call_RNAseq,6.822765799418999,Positive
228,DACH1,PAM50Call_RNAseq,6.876463289154022,Negative
229,AQP7,PAM50Call_RNAseq,6.676400246136569,Negative
230,PLA2G3,PAM50Call_RNAseq,6.5028821098346175,Negative
231,PLCH1,PAM50Call_RNAseq,6.737950096049536,Positive
232,KRT15,PAM50Call_RNAseq,6.929753578732139,Negative
233,NAT1,PAM50Call_RNAseq,6.912655959698391,Negative
234,IYD,PAM50Call_RNAseq,6.859466536891214,Negative
235,SLC6A14,PAM50Call_RNAseq,6.734214988207735,Positive
236,SCUBE2,PAM50Call_RNAseq,6.90632210901772,Negative
237,SLC5A8,PAM50Call_RNAseq,6.704935125992052,Positive
238,AKR1B10,PAM50Call_RNAseq,6.820411079643744,Positive
239,CST1,PAM50Call_RNAseq,6.730474365490761,Negative
240,DSC3,PAM50Call_RNAseq,6.95727103295268,Positive
241,NCCRP1,PAM50Call_RNAseq,6.935460137933035,Positive
242,PROM1,PAM50Call_RNAseq,6.7681295139837525,Positive
243,SLC9A2,PAM50Call_RNAseq,6.503089039017567,Positive
244,TPSD1,PAM50Call_RNAseq,6.788882754131558,Negative
245,LGR6,PAM50Call_RNAseq,6.947209234921556,Negative
246,ROPN1B,PAM50Call_RNAseq,6.74216916794171,Positive
247,SFRP1,PAM50Call_RNAseq,6.881758761253609,Positive
248,MUCL1,PAM50Call_RNAseq,6.767945258628609,Negative
249,MAOB,PAM50Call_RNAseq,7.041037842876999,Negative
250,SLC6A4,PAM50Call_RNAseq,6.70971739863418,Negative
251,ATRNL1,PAM50Call_RNAseq,6.885384292726901,Negative
252,OGN,PAM50Call_RNAseq,7.134912353869145,Negative
253,AQP5,PAM50Call_RNAseq,6.690127672328944,Positive
254,DIO1,PAM50Call_RNAseq,6.621093204665548,Negative
255,MUC16,PAM50Call_RNAseq,6.690809357368372,Positive
256,SMOC1,PAM50Call_RNAseq,6.928093672805131,Positive
257,RPS28,PAM50Call_RNAseq,6.444309971931607,Negative
258,SLPI,PAM50Call_RNAseq,7.192140319697236,Positive
259,SLC34A2,PAM50Call_RNAseq,6.72213845154679,Positive
260,PON3,PAM50Call_RNAseq,6.661183359789307,Positive
261,CP,PAM50Call_RNAseq,6.825822100125186,Positive
262,DLX2,PAM50Call_RNAseq,6.634251930908769,Negative
263,PPP1R1A,PAM50Call_RNAseq,6.93461594640865,Positive
264,MUC5B,PAM50Call_RNAseq,6.75546219147558,Positive
265,PPP1R1B,PAM50Call_RNAseq,7.068658322136277,Positive
266,TMC5,PAM50Call_RNAseq,6.884274732109791,Negative
267,ANKRD30A,PAM50Call_RNAseq,6.1308615027414115,Negative
268,PPAN-P2RY11,PAM50Call_RNAseq,6.199924657879234,Negative
269,PI16,PAM50Call_RNAseq,6.700488829240932,Negative
270,NKX2-2,PAM50Call_RNAseq,6.703924188749406,Positive
271,S100A7,PAM50Call_RNAseq,6.627456629094808,Positive
272,SLC28A3,PAM50Call_RNAseq,6.789203572292716,Positive
273,KRT5,PAM50Call_RNAseq,6.989973408206724,Positive
274,KRT14,PAM50Call_RNAseq,6.897840566916968,Negative
275,TFF1,PAM50Call_RNAseq,6.528948527153708,Negative
276,SDR16C5,PAM50Call_RNAseq,6.638042547671806,Negative
277,GATA4,PAM50Call_RNAseq,6.767308232891844,Negative
278,FGFBP1,PAM50Call_RNAseq,6.954459954760201,Positive
279,PIP,PAM50Call_RNAseq,6.844863185453512,Negative
280,CYP4Z1,PAM50Call_RNAseq,6.542519624420346,Negative
281,PI3,PAM50Call_RNAseq,6.985771868649486,Positive
282,TSIX,PAM50Call_RNAseq,7.038835760859059,Positive
283,KRT81,PAM50Call_RNAseq,6.892429544978138,Positive
284,ATP6V0A4,PAM50Call_RNAseq,6.702403910683888,Positive
285,HOTAIR,PAM50Call_RNAseq,6.591735857101142,Positive
286,MAPT,PAM50Call_RNAseq,6.880969179656442,Negative
287,OBP2B,PAM50Call_RNAseq,6.4094777306477,Positive
288,PTPRT,PAM50Call_RNAseq,6.726082392483221,Negative
289,ATP13A5,PAM50Call_RNAseq,6.531499708133226,Positive
290,PIK3C2G,PAM50Call_RNAseq,6.757964304353378,Positive
291,KCNF1,PAM50Call_RNAseq,6.940650618948761,Negative
292,HS6ST3,PAM50Call_RNAseq,6.825813819974565,Negative
293,KLK6,PAM50Call_RNAseq,6.728635569381918,Positive
294,C2CD4A,PAM50Call_RNAseq,6.776908588515786,Positive
295,SOX2,PAM50Call_RNAseq,6.803863837249055,Positive
296,LOC642587,PAM50Call_RNAseq,6.967100816673022,Negative
297,TPSG1,PAM50Call_RNAseq,6.710078437128232,Negative
298,FABP7,PAM50Call_RNAseq,7.004269674763646,Positive
299,CLCA2,PAM50Call_RNAseq,6.759943279667194,Positive
300,NMU,PAM50Call_RNAseq,6.626297346695407,Positive
301,SYT8,PAM50Call_RNAseq,6.752440335130843,Positive
302,LY6K,PAM50Call_RNAseq,6.876211921988234,Positive
303,TRPA1,PAM50Call_RNAseq,7.073541763024548,Positive
304,SLC7A2,PAM50Call_RNAseq,6.868562068256122,Negative
305,ROPN1,PAM50Call_RNAseq,6.677669677120616,Positive
